Entity,Code,Year,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,2023
Afghanistan,AFG,15,,,,,,0.05416,0.053994,0.054383,0.053041,0.05956,0.064951,0.03175,0.021124,0.020509
Afghanistan,AFG,16,,,,,,0.09452,0.093824,0.093938,0.089474,0.098825,0.109269,0.060275,0.042062,0.040433
Afghanistan,AFG,17,,,,,,0.143599,0.141008,0.1394,0.131673,0.141677,0.157684,0.101463,0.06763,0.063677
Afghanistan,AFG,18,,,,,,0.198369,0.19259,0.187893,0.177534,0.185562,0.206747,0.153238,0.096114,0.08856
Afghanistan,AFG,19,,,,,,0.249454,0.240554,0.232913,0.222914,0.226709,0.249792,0.204287,0.123209,0.111662
Afghanistan,AFG,20,,,,,,0.293803,0.282484,0.272696,0.266158,0.263925,0.285247,0.250186,0.148103,0.132672
Afghanistan,AFG,21,,,,,,0.326284,0.314698,0.304874,0.302107,0.293601,0.311585,0.282463,0.172617,0.154929
Afghanistan,AFG,22,,,,,,0.346466,0.336781,0.329046,0.329842,0.315573,0.329225,0.30055,0.19656,0.17838
Afghanistan,AFG,23,,,,,,0.356612,0.349629,0.34482,0.34869,0.330817,0.340357,0.310136,0.218244,0.200618
Afghanistan,AFG,24,,,,,,0.357812,0.353897,0.352432,0.358929,0.340036,0.345907,0.313137,0.236953,0.220617
Afghanistan,AFG,25,,,,,,0.352616,0.351584,0.353326,0.362388,0.345199,0.347736,0.312191,0.251319,0.236424
Afghanistan,AFG,26,,,,,,0.34232,0.343789,0.348394,0.360166,0.347163,0.346479,0.308407,0.260747,0.247137
Afghanistan,AFG,27,,,,,,0.330211,0.333614,0.340301,0.354454,0.346112,0.342741,0.302864,0.264943,0.252232
Afghanistan,AFG,28,,,,,,0.317294,0.322036,0.329991,0.346132,0.34238,0.336881,0.295881,0.26411,0.251885
Afghanistan,AFG,29,,,,,,0.304701,0.310282,0.318976,0.3368,0.337108,0.329854,0.287672,0.259517,0.247528
Afghanistan,AFG,30,,,,,,0.292585,0.298612,0.307734,0.327015,0.330762,0.321746,0.278263,0.251685,0.239643
Afghanistan,AFG,31,,,,,,0.281758,0.288147,0.297583,0.317249,0.322382,0.312136,0.266517,0.241963,0.229919
Afghanistan,AFG,32,,,,,,0.271964,0.278698,0.288425,0.307494,0.312059,0.300948,0.252604,0.230781,0.218783
Afghanistan,AFG,33,,,,,,0.262574,0.269554,0.279244,0.296861,0.299252,0.288425,0.237351,0.219017,0.207439
Afghanistan,AFG,34,,,,,,0.25314,0.260251,0.269627,0.285162,0.284237,0.274641,0.221084,0.20681,0.195993
Afghanistan,AFG,35,,,,,,0.242695,0.249753,0.258783,0.272141,0.268021,0.259741,0.204225,0.193759,0.183795
Afghanistan,AFG,36,,,,,,0.23001,0.23703,0.246316,0.258261,0.252298,0.2435,0.187249,0.18007,0.17054
Afghanistan,AFG,37,,,,,,0.214876,0.221821,0.231429,0.242208,0.235139,0.225429,0.169743,0.16564,0.156521
Afghanistan,AFG,38,,,,,,0.197295,0.204114,0.214047,0.223934,0.21654,0.205637,0.151862,0.150546,0.141847
Afghanistan,AFG,39,,,,,,0.177888,0.184416,0.194665,0.204205,0.197609,0.185156,0.134486,0.135104,0.12679
