name,slug,% of GDP,date_of_information,ranking,region
"Kiribati","kiribati","16.4","2023",1,"Australia and Oceania"
"Tuvalu","tuvalu","15.8","2023",2,"Australia and Oceania"
"Micronesia, Federated States of","micronesia-federated-states-of","11.6","2020",3,"Australia and Oceania"
"Vanuatu","vanuatu","10.6","2023",4,"Australia and Oceania"
"Greenland","greenland","10.2","2019",5,"North America"
"Namibia","namibia","9.4","2022",6,"Africa"
"Sierra Leone","sierra-leone","8.5","2022",7,"Africa"
"Cuba","cuba","8.4","2022",8,"Central America and the Caribbean"
"Solomon Islands","solomon-islands","8.3","2023",9,"Australia and Oceania"
"Bolivia","bolivia","8.3","2023",10,"South America"
"Botswana","botswana","8.1","2020",11,"Africa"
"Faroe Islands","faroe-islands","7.6","2019",12,"Europe"
"Marshall Islands","marshall-islands","7.5","2022",13,"Australia and Oceania"
"Curacao","curacao","7.4","2020",14,"Central America and the Caribbean"
"Montserrat","montserrat","7.2","2023",15,"Central America and the Caribbean"
"Sweden","sweden","7.1","2022",16,"Europe"
"Kyrgyzstan","kyrgyzstan","6.8","2023",17,"Central Asia"
"South Africa","south-africa","6.7","2024",18,"Africa"
"Iceland","iceland","6.7","2023",19,"Europe"
"Tunisia","tunisia","6.7","2023",20,"Africa"
"Moldova","moldova","6.6","2023",21,"Europe"
"Lesotho","lesotho","6.6","2024",22,"Africa"
"Israel","israel","6.5","2022",23,"Middle East"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","6.5","2023",24,"Central America and the Caribbean"
"Finland","finland","6.5","2021",25,"Europe"
"Belgium","belgium","6.4","2021",26,"Europe"
"Macau","macau","6.3","2020",27,"East and Southeast Asia"
"Senegal","senegal","6.2","2023",28,"Africa"
"Costa Rica","costa-rica","6.2","2021",29,"Central America and the Caribbean"
"Mozambique","mozambique","6","2022",30,"Africa"
"Eswatini","eswatini","6","2024",31,"Africa"
"Morocco","morocco","6","2023",32,"Africa"
"Ukraine","ukraine","5.9","2022",33,"Europe"
"Bhutan","bhutan","5.8","2023",34,"South Asia"
"Slovenia","slovenia","5.7","2022",35,"Europe"
"Jamaica","jamaica","5.7","2023",36,"Central America and the Caribbean"
"Estonia","estonia","5.7","2022",37,"Europe"
"Algeria","algeria","5.6","2023",38,"Africa"
"Nauru","nauru","5.6","2023",39,"Australia and Oceania"
"Brazil","brazil","5.5","2021",40,"South America"
"Uzbekistan","uzbekistan","5.5","2023",41,"Central Asia"
"Samoa","samoa","5.5","2024",42,"Australia and Oceania"
"France","france","5.4","2021",43,"Europe"
"Dominica","dominica","5.4","2024",44,"Central America and the Caribbean"
"Latvia","latvia","5.4","2022",45,"Europe"
"West Bank","west-bank","5.4","2021",46,"Middle East"
"Gaza Strip","gaza-strip","5.4","2021",47,"Middle East"
"Tajikistan","tajikistan","5.4","2023",48,"Central Asia"
"United States","united-states","5.4","2022",49,"North America"
"Denmark","denmark","5.3","2022",50,"Europe"
"Colombia","colombia","5.3","2020",51,"South America"
"Burkina Faso","burkina-faso","5.3","2023",52,"Africa"
"Tonga","tonga","5.3","2022",53,"Australia and Oceania"
"New Zealand","new-zealand","5.2","2022",54,"Australia and Oceania"
"Australia","australia","5.2","2022",55,"Australia and Oceania"
"Maldives","maldives","5.2","2023",56,"South Asia"
"Switzerland","switzerland","5.1","2023",57,"Europe"
"Netherlands","netherlands","5.1","2022",58,"Europe"
"Cyprus","cyprus","5.1","2022",59,"Europe"
"Hungary","hungary","5.1","2022",60,"Europe"
"Grenada","grenada","5.1","2023",61,"Central America and the Caribbean"
"Saudi Arabia","saudi-arabia","5.1","2023",62,"Middle East"
"Chile","chile","5","2021",63,"South America"
"Belarus","belarus","5","2023",64,"Europe"
