Country,Country Group,Region,Population,Note,Year,Romanization,Index,Name Group,Gender,Localized Name,Romanized Name
AL,1,,,,2019,N,1,N-AL-1-F-1,F,Amelia,Amelia
AL,1,,,,2019,N,2,N-AL-1-F-2,F,Ajla,Ajla
AL,1,,,,2019,N,3,N-AL-1-F-3,F,Aria,Aria
AL,1,,,,2019,N,4,N-AL-1-F-4,F,Amelja,Amelja
AL,1,,,,2019,N,5,N-AL-1-F-5,F,Leandra,Leandra
AL,1,,,,2019,N,6,N-AL-1-F-6,F,Ambra,Ambra
AL,1,,,,2019,N,7,N-AL-1-F-7,F,Klea,Klea
AL,1,,,,2019,N,8,N-AL-1-F-8,F,Melisa,Melisa
AL,1,,,,2019,N,9,N-AL-1-F-9,F,Amaris,Amaris
AL,1,,,,2019,N,10,N-AL-1-F-10,F,Reina,Reina
AL,1,,,,2019,N,1,N-AL-1-M-1,M,Noel,Noel
AL,1,,,,2019,N,2,N-AL-1-M-2,M,Aron,Aron
AL,1,,,,2019,N,3,N-AL-1-M-3,M,Joel,Joel
AL,1,,,,2019,N,4,N-AL-1-M-4,M,Roan,Roan
AL,1,,,,2019,N,5,N-AL-1-M-5,M,Amar,Amar
AL,1,,,,2019,N,6,N-AL-1-M-6,M,Mateo,Mateo
AL,1,,,,2019,N,7,N-AL-1-M-7,M,Alteo,Alteo
AL,1,,,,2019,N,8,N-AL-1-M-8,M,Roel,Roel
AL,1,,,,2019,N,9,N-AL-1-M-9,M,Luis,Luis
AL,1,,,,2019,N,10,N-AL-1-M-10,M,Dion,Dion
AM,1,,General population,,2020,N,1,N-AM-1-F-1,F,Anahit,Anahit
AM,1,,General population,,2020,N,2,N-AM-1-F-2,F,Gayane,Gayane
AM,1,,General population,,2020,N,3,N-AM-1-F-3,F,Anna,Anna
AM,1,,General population,,2020,N,4,N-AM-1-F-4,F,Karine,Karine
AM,1,,General population,,2020,N,5,N-AM-1-F-5,F,Hasmik,Hasmik
AM,1,,General population,,2020,N,6,N-AM-1-F-6,F,Lusine,Lusine
AM,1,,General population,,2020,N,7,N-AM-1-F-7,F,Susanna,Susanna
AM,1,,General population,,2020,N,8,N-AM-1-F-8,F,Armine,Armine
AM,1,,General population,,2020,N,9,N-AM-1-F-9,F,Narine,Narine
AM,1,,General population,,2020,N,10,N-AM-1-F-10,F,Lilit,Lilit
AM,1,,General population,,2020,N,1,N-AM-1-M-1,M,Armen,Armen
AM,1,,General population,,2020,N,2,N-AM-1-M-2,M,Artur,Artur
AM,1,,General population,,2020,N,3,N-AM-1-M-3,M,Karen,Karen
AM,1,,General population,,2020,N,4,N-AM-1-M-4,M,Samvel,Samvel
AM,1,,General population,,2020,N,5,N-AM-1-M-5,M,Gevorg,Gevorg
AM,1,,General population,,2020,N,6,N-AM-1-M-6,M,Ashot,Ashot
AM,1,,General population,,2020,N,7,N-AM-1-M-7,M,Davit,Davit
AM,1,,General population,,2020,N,8,N-AM-1-M-8,M,Arman,Arman
AM,1,,General population,,2020,N,9,N-AM-1-M-9,M,Hovhannes,Hovhannes
AM,1,,General population,,2020,N,10,N-AM-1-M-10,M,Gagik,Gagik
AM,2,,Babies born,,2021,N,1,N-AM-2-F-1,F,Nare,Nare
AM,2,,Babies born,,2021,N,2,N-AM-2-F-2,F,Maria,Maria
AM,2,,Babies born,,2021,N,3,N-AM-2-F-3,F,Arpi,Arpi
AM,2,,Babies born,,2021,N,4,N-AM-2-F-4,F,Maneh,Maneh
AM,2,,Babies born,,2021,N,5,N-AM-2-F-5,F,Angelina,Angelina
AM,2,,Babies born,,2021,N,6,N-AM-2-F-6,F,Mari,Mari
AM,2,,Babies born,,2021,N,7,N-AM-2-F-7,F,Eva,Eva
AM,2,,Babies born,,2021,N,8,N-AM-2-F-8,F,Mariam,Mariam
AM,2,,Babies born,,2021,N,9,N-AM-2-F-9,F,Anahit,Anahit
AM,2,,Babies born,,2021,N,10,N-AM-2-F-10,F,Sofi,Sofi
AM,2,,Babies born,,2021,N,1,N-AM-2-M-1,M,Davit,Davit
AM,2,,Babies born,,2021,N,2,N-AM-2-M-2,M,Narek,Narek
AM,2,,Babies born,,2021,N,3,N-AM-2-M-3,M,Monte,Monte
