name,slug,%,date_of_information,ranking,region
"Afghanistan","afghanistan","-6.6","2024",1,"South Asia"
"Barbados","barbados","-0.5","2024",2,"Central America and the Caribbean"
"Costa Rica","costa-rica","-0.4","2024",3,"Central America and the Caribbean"
"Brunei","brunei","-0.4","2024",4,"East and Southeast Asia"
"Sri Lanka","sri-lanka","-0.4","2024",5,"South Asia"
"Saint Lucia","saint-lucia","-0.1","2024",6,"Central America and the Caribbean"
"China","china","0.2","2024",7,"East and Southeast Asia"
"Armenia","armenia","0.3","2024",8,"Central Asia"
"Seychelles","seychelles","0.3","2024",9,"Africa"
"Bahamas, The","bahamas-the","0.4","2024",10,"Central America and the Caribbean"
"Macau","macau","0.5","2023",11,"East and Southeast Asia"
"Trinidad and Tobago","trinidad-and-tobago","0.5","2024",12,"Central America and the Caribbean"
"Papua New Guinea","papua-new-guinea","0.6","2024",13,"East and Southeast Asia"
"Panama","panama","0.7","2024",14,"Central America and the Caribbean"
"Lithuania","lithuania","0.7","2024",15,"Europe"
"Senegal","senegal","0.8","2024",16,"Africa"
"El Salvador","el-salvador","0.9","2024",17,"Central America and the Caribbean"
"Bahrain","bahrain","0.9","2024",18,"Middle East"
"Comoros","comoros","1","2017",19,"Africa"
"Morocco","morocco","1","2024",20,"Africa"
"Cabo Verde","cabo-verde","1","2024",21,"Africa"
"Oman","oman","1","2023",22,"Middle East"
"Italy","italy","1","2024",23,"Europe"
"Grenada","grenada","1.1","2024",24,"Central America and the Caribbean"
"Georgia","georgia","1.1","2024",25,"Central Asia"
"Switzerland","switzerland","1.1","2024",26,"Europe"
"Greenland","greenland","1.2","2022",27,"North America"
"Benin","benin","1.2","2024",28,"Africa"
"San Marino","san-marino","1.2","2024",29,"Europe"
"Gabon","gabon","1.2","2024",30,"Africa"
"Qatar","qatar","1.3","2024",31,"Middle East"
"Latvia","latvia","1.3","2024",32,"Europe"
"Maldives","maldives","1.4","2024",33,"South Asia"
"Denmark","denmark","1.4","2024",34,"Europe"
"Thailand","thailand","1.4","2024",35,"East and Southeast Asia"
"Ecuador","ecuador","1.5","2024",36,"South America"
"Kosovo","kosovo","1.6","2024",37,"Europe"
"Finland","finland","1.6","2024",38,"Europe"
"Jordan","jordan","1.6","2024",39,"Middle East"
"Malta","malta","1.7","2024",40,"Europe"
"Saudi Arabia","saudi-arabia","1.7","2024",41,"Middle East"
"Bosnia and Herzegovina","bosnia-and-herzegovina","1.7","2024",42,"Europe"
"Hong Kong","hong-kong","1.7","2024",43,"East and Southeast Asia"
"United Arab Emirates","united-arab-emirates","1.7","2024",44,"Middle East"
"Rwanda","rwanda","1.8","2024",45,"Africa"
"Malaysia","malaysia","1.8","2024",46,"East and Southeast Asia"
"Cyprus","cyprus","1.8","2024",47,"Europe"
"Peru","peru","2","2024",48,"South America"
"Cayman Islands","cayman-islands","2","2017",49,"Central America and the Caribbean"
"Slovenia","slovenia","2","2024",50,"Europe"
"France","france","2","2024",51,"Europe"
"Cambodia","cambodia","2.1","2023",52,"East and Southeast Asia"
"Luxembourg","luxembourg","2.1","2024",53,"Europe"
"Djibouti","djibouti","2.1","2024",54,"Africa"
"Libya","libya","2.1","2024",55,"Africa"
"Ireland","ireland","2.1","2024",56,"Europe"
"Timor-Leste","timor-leste","2.1","2024",57,"East and Southeast Asia"
"Samoa","samoa","2.2","2024",58,"Australia and Oceania"
"Taiwan","taiwan","2.2","2024",59,"East and Southeast Asia"
"Palau","palau","2.2","2024",60,"Australia and Oceania"
"Albania","albania","2.2","2024",61,"Europe"
"Azerbaijan","azerbaijan","2.2","2024",62,"Central Asia"
"Sint Maarten","sint-maarten","2.2","2017",63,"Central America and the Caribbean"
"Korea, South","korea-south","2.3","2024",64,"East and Southeast Asia"
"Germany","germany","2.3","2024",65,"Europe"
"Czechia","czechia","2.4","2024",66,"Europe"
"Singapore","singapore","2.4","2024",67,"East and Southeast Asia"
"Bulgaria","bulgaria","2.4","2024",68,"Europe"
"Canada","canada","2.4","2024",69,"North America"
"Portugal","portugal","2.4","2024",70,"Europe"
"Mauritania","mauritania","2.5","2024",71,"Africa"
"Nauru","nauru","2.6","2022",72,"Australia and Oceania"
"Eswatini","eswatini","2.6","2019",73,"Africa"
"Curacao","curacao","2.6","2019",74,"Central America and the Caribbean"
"Dominica","dominica","2.6","2024",75,"Central America and the Caribbean"
"Greece","greece","2.7","2024",76,"Europe"
"Japan","japan","2.7","2024",77,"East and Southeast Asia"
"Bhutan","bhutan","2.8","2024",78,"South Asia"
"Bermuda","bermuda","2.8","2022",79,"North America"
"Slovakia","slovakia","2.8","2024",80,"Europe"
"Spain","spain","2.8","2024",81,"Europe"
"Sweden","sweden","2.8","2024",82,"Europe"
"Botswana","botswana","2.8","2024",83,"Africa"
"Liechtenstein","liechtenstein","2.8","2022",84,"Europe"
"Guyana","guyana","2.9","2024",85,"South America"
"Guatemala","guatemala","2.9","2024",86,"Central America and the Caribbean"
"United States","united-states","2.9","2024",87,"North America"
"Togo","togo","2.9","2024",88,"Africa"
"Austria","austria","2.9","2024",89,"Europe"
"New Zealand","new-zealand","2.9","2024",90,"Australia and Oceania"
"Kuwait","kuwait","2.9","2024",91,"Middle East"
"Anguilla","anguilla","3","2022",92,"Central America and the Caribbean"
"Central African Republic","central-african-republic","3","2023",93,"Africa"
"Croatia","croatia","3","2024",94,"Europe"
"Israel","israel","3.1","2024",95,"Middle East"
"Congo, Republic of the","congo-republic-of-the","3.1","2024",96,"Africa"
"Belgium","belgium","3.1","2024",97,"Europe"
"Norway","norway","3.1","2024",98,"Europe"
"Tanzania","tanzania","3.1","2024",99,"Africa"
"Philippines","philippines","3.2","2024",100,"East and Southeast Asia"
"Tonga","tonga","3.2","2024",101,"Australia and Oceania"
"Mali","mali","3.2","2024",102,"Africa"
"Australia","australia","3.2","2024",103,"Australia and Oceania"
"Dominican Republic","dominican-republic","3.3","2024",104,"Central America and the Caribbean"
"Montenegro","montenegro","3.3","2024",105,"Europe"
"Uganda","uganda","3.3","2024",106,"Africa"
"Netherlands","netherlands","3.3","2024",107,"Europe"
"Belize","belize","3.3","2024",108,"Central America and the Caribbean"
"United Kingdom","united-kingdom","3.3","2024",109,"Europe"
"Estonia","estonia","3.5","2024",110,"Europe"
"Cote d'Ivoire","cote-divoire","3.5","2024",111,"Africa"
"North Macedonia","north-macedonia","3.5","2024",112,"Europe"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","3.6","2024",113,"Central America and the Caribbean"
"Saint Kitts and Nevis","saint-kitts-and-nevis","3.6","2023",114,"Central America and the Caribbean"
"Mauritius","mauritius","3.6","2024",115,"Africa"
"Vietnam","vietnam","3.6","2024",116,"East and Southeast Asia"
"Indonesia","indonesia","3.7","2023",117,"East and Southeast Asia"
"Hungary","hungary","3.7","2024",118,"Europe"
"New Caledonia","new-caledonia","3.7","2022",119,"Australia and Oceania"
"Guinea-Bissau","guinea-bissau","3.8","2024",120,"Africa"
"Poland","poland","3.8","2024",121,"Europe"
"Paraguay","paraguay","3.8","2024",122,"South America"
"Algeria","algeria","4","2024",123,"Africa"
"Tokelau","tokelau","4","2020",124,"Australia and Oceania"
"Montserrat","montserrat","4","2022",125,"Central America and the Caribbean"
"Mozambique","mozambique","4.1","2024",126,"Africa"
"Namibia","namibia","4.2","2024",127,"Africa"
"Burkina Faso","burkina-faso","4.2","2024",128,"Africa"
"Chile","chile","4.3","2024",129,"South America"
"Aruba","aruba","4.3","2019",130,"Central America and the Caribbean"
"Puerto Rico","puerto-rico","4.3","2022",131,"Central America and the Caribbean"
"Brazil","brazil","4.4","2024",132,"South America"
"Iraq","iraq","4.4","2023",133,"Middle East"
"South Africa","south-africa","4.4","2024",134,"Africa"
"Kenya","kenya","4.5","2024",135,"Africa"
"Fiji","fiji","4.5","2024",136,"Australia and Oceania"
"Cameroon","cameroon","4.5","2024",137,"Africa"
"Honduras","honduras","4.6","2024",138,"Central America and the Caribbean"
"Nicaragua","nicaragua","4.6","2024",139,"Central America and the Caribbean"
"Moldova","moldova","4.7","2024",140,"Europe"
"Serbia","serbia","4.7","2024",141,"Europe"
"Mexico","mexico","4.7","2024",142,"North America"
"Uruguay","uruguay","4.8","2024",143,"South America"
"Equatorial Guinea","equatorial-guinea","4.8","2022",144,"Africa"
"India","india","5","2024",145,"South Asia"
"Bolivia","bolivia","5.1","2024",146,"South America"
"Micronesia, Federated States of","micronesia-federated-states-of","5.4","2022",147,"Australia and Oceania"
"Jamaica","jamaica","5.4","2024",148,"Central America and the Caribbean"
"Romania","romania","5.7","2024",149,"Europe"
"Belarus","belarus","5.8","2024",150,"Europe"
"Solomon Islands","solomon-islands","5.9","2023",151,"Australia and Oceania"
"Monaco","monaco","5.9","2022",152,"Europe"
"Iceland","iceland","5.9","2024",153,"Europe"
"Lesotho","lesotho","6.1","2024",154,"Africa"
"Andorra","andorra","6.2","2022",155,"Europe"
"Antigua and Barbuda","antigua-and-barbuda","6.2","2024",156,"Central America and the Caribbean"
"Marshall Islands","marshall-islands","6.2","2022",157,"Australia and Oceania"
"French Polynesia","french-polynesia","6.4","2022",158,"Australia and Oceania"
"Ukraine","ukraine","6.5","2024",159,"Europe"
"Colombia","colombia","6.6","2024",160,"South America"
"Russia","russia","6.7","2021",161,"Central Asia"
"Somalia","somalia","6.8","2022",162,"Africa"
"Mongolia","mongolia","6.8","2024",163,"East and Southeast Asia"
"Nepal","nepal","7.1","2023",164,"South Asia"
"Tunisia","tunisia","7.2","2024",165,"Africa"
"Eritrea","eritrea","7.4","2022",166,"Africa"
"Tajikistan","tajikistan","7.7","2019",167,"Central Asia"
"Guinea","guinea","8.1","2024",168,"Africa"
"British Virgin Islands","british-virgin-islands","8.5","2022",169,"Central America and the Caribbean"
"Turks and Caicos Islands","turks-and-caicos-islands","8.5","2022",170,"Central America and the Caribbean"
"Kazakhstan","kazakhstan","8.8","2024",171,"Central Asia"
"Burma","burma","8.8","2019",172,"East and Southeast Asia"
"Chad","chad","8.9","2024",173,"Africa"
"Niger","niger","9.1","2024",174,"Africa"
"Kiribati","kiribati","9.3","2023",175,"Australia and Oceania"
"Uzbekistan","uzbekistan","9.6","2024",176,"Central Asia"
"Madagascar","madagascar","9.9","2023",177,"Africa"
"Liberia","liberia","10.1","2023",178,"Africa"
"Bangladesh","bangladesh","10.5","2024",179,"South Asia"
"Cook Islands","cook-islands","10.6","2022",180,"Australia and Oceania"
"Kyrgyzstan","kyrgyzstan","10.8","2023",181,"Central Asia"
"Vanuatu","vanuatu","11.2","2023",182,"Australia and Oceania"
"Tuvalu","tuvalu","11.5","2022",183,"Australia and Oceania"
"Turkmenistan","turkmenistan","11.5","2022",184,"Central Asia"
"Gambia, The","gambia-the","11.6","2024",185,"Africa"
"Pakistan","pakistan","12.6","2024",186,"South Asia"
"Sao Tome and Principe","sao-tome-and-principe","14.4","2024",187,"Africa"
"Zambia","zambia","15","2024",188,"Africa"
"Suriname","suriname","16.2","2024",189,"South America"
"Burundi","burundi","20.2","2024",190,"Africa"
"Ethiopia","ethiopia","21","2024",191,"Africa"
"Ghana","ghana","22.8","2024",192,"Africa"
"Laos","laos","23.1","2024",193,"East and Southeast Asia"
"Haiti","haiti","26.9","2024",194,"Central America and the Caribbean"
"Angola","angola","28.2","2024",195,"Africa"
"Egypt","egypt","28.3","2024",196,"Africa"
"Sierra Leone","sierra-leone","28.6","2024",197,"Africa"
"Yemen","yemen","29.1","2022",198,"Middle East"
"Malawi","malawi","32.2","2024",199,"Africa"
"Iran","iran","32.5","2024",200,"Middle East"
"Nigeria","nigeria","33.2","2024",201,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","41.5","2017",202,"Africa"
"Lebanon","lebanon","45.2","2024",203,"Middle East"
"West Bank","west-bank","53.7","2024",204,"Middle East"
"Gaza Strip","gaza-strip","53.7","2024",205,"Middle East"
"Turkey (Turkiye)","turkey-turkiye","58.5","2024",206,"Middle East"
"Argentina","argentina","73.1","2022",207,"South America"
"Cuba","cuba","76.1","2022",208,"Central America and the Caribbean"
"South Sudan","south-sudan","91.4","2024",209,"Africa"
"Syria","syria","94.1","2022",210,"Middle East"
"Zimbabwe","zimbabwe","104.7","2022",211,"Africa"
"Sudan","sudan","138.8","2022",212,"Africa"
"Venezuela","venezuela","200.9","2022",213,"South America"
