name,slug,years_total,years_female,years_male,date_of_information,ranking,region
Monaco,monaco,86.73,88.85,84.78,2024,1,Europe
San Marino,san-marino,86.03,87.44,84.54,2024,2,Europe
Hong Kong,hong-kong,85.9,88.51,83.22,2024,3,East and Southeast Asia
Japan,japan,85.15,88.18,82.13,2024,4,East and Southeast Asia
South Korea,korea-south,84.64,87.51,81.56,2024,5,
Saint Barthelemy,saint-barthelemy,84.63,87.14,81.81,2024,6,Central America and the Caribbean
Andorra,andorra,84.46,86.48,82.55,2024,7,Europe
French Polynesia,french-polynesia,84.44,86.86,82.16,2024,8,Australia and Oceania
Switzerland,switzerland,84.37,86.2,82.48,2024,9,Europe
Australia,australia,84.34,86.07,82.59,2024,10,Australia and Oceania
Italy,italy,84.18,86.13,82.12,2024,11,Europe
Singapore,singapore,84.13,86.6,81.67,2024,12,East and Southeast Asia
Spain,spain,84.08,86.71,81.4,2024,13,Europe
Liechtenstein,liechtenstein,84.06,85.64,82.39,2024,14,Europe
Reunion,reunion,83.92,86.68,80.94,2024,15,
Gibraltar,gibraltar,83.9,86.45,81.33,2024,16,Europe
Malta,malta,83.78,85.63,81.88,2024,17,Europe
Norway,norway,83.76,85.21,82.31,2024,18,Europe
Sweden,sweden,83.73,85.45,82.03,2024,19,Europe
France,france,83.7,86.42,80.86,2024,20,Europe
Macao,macau,83.6,85.64,81.47,2024,21,
Holy See,holy-see,83.41,85.44,81.31,2024,22,
United Arab Emirates,united-arab-emirates,83.39,84.55,82.56,2024,23,Middle East
Iceland,iceland,83.3,84.69,81.96,2024,24,Europe
Canada,canada,83.05,85.16,80.94,2024,25,North America
Martinique,martinique,83.04,85.95,79.81,2024,26,
Ireland,ireland,82.92,84.86,81.01,2024,27,Europe
Israel,israel,82.9,84.94,80.8,2024,28,Middle East
Portugal,portugal,82.89,85.51,80.11,2024,29,Europe
Qatar,qatar,82.83,83.72,82.13,2024,30,Middle East
Bermuda,bermuda,82.83,86.14,79.44,2024,31,North America
Luxembourg,luxembourg,82.64,84.17,81.08,2024,32,Europe
Netherlands,netherlands,82.61,84.1,81.09,2024,33,Europe
Belgium,belgium,82.59,84.69,80.46,2024,34,Europe
Guadeloupe,guadeloupe,82.56,85.88,78.75,2024,35,
New Zealand,new-zealand,82.52,84.1,80.93,2024,36,Australia and Oceania
Austria,austria,82.45,84.69,80.17,2024,37,Europe
Finland,finland,82.4,85.02,79.8,2024,38,Europe
Greece,greece,82.39,84.73,79.95,2024,39,Europe
Denmark,denmark,82.39,84.19,80.57,2024,40,Europe
Puerto Rico,puerto-rico,82.27,85.63,78.72,2024,41,Central America and the Caribbean
Cyprus,cyprus,82.15,84.05,80.24,2024,42,Europe
Slovenia,slovenia,82.09,84.69,79.54,2024,43,Europe
Germany,germany,81.86,84.11,79.62,2024,44,Europe
United Kingdom,united-kingdom,81.75,83.57,79.89,2024,45,Europe
Bahrain,bahrain,81.74,82.4,81.21,2024,46,Middle East
Maldives,maldives,81.73,83.34,80.44,2024,47,South Asia
Chile,chile,81.72,83.51,79.88,2024,48,South America
Isle of Man,isle-of-man,81.39,83.4,79.42,2024,49,Europe
Costa Rica,costa-rica,81.38,83.87,78.84,2024,50,Central America and the Caribbean
Taiwan,taiwan,81.14,84.02,78.32,2024,51,East and Southeast Asia
Kuwait,kuwait,80.97,82.3,79.83,2024,52,Middle East
Cayman Islands,cayman-islands,80.9,83.28,78.62,2024,53,Central America and the Caribbean
Faeroe Islands,faroe-islands,80.81,83.02,78.87,2024,54,
Oman,oman,80.65,82.36,79.17,2024,55,Middle East
Czech Republic,czechia,80.25,82.96,77.53,2024,56,
Panama,panama,80.15,82.99,77.33,2024,57,Central America and the Caribbean
Albania,albania,80.13,81.89,78.33,2024,58,Europe
Anguilla,anguilla,79.86,83.05,76.67,2024,59,Central America and the Caribbean
Falkland Islands,falkland-islands,79.78,81.7,77.81,2024,60,
United States,united-states,79.76,82.23,77.39,2024,61,North America
Estonia,estonia,79.64,83.42,75.57,2024,62,Europe
Saudi Arabia,saudi-arabia,79.4,81.67,77.78,2024,63,Middle East
New Caledonia,new-caledonia,79.23,81.67,76.83,2024,64,Australia and Oceania
Northern Mariana Islands,northern-mariana-islands,79.22,81.12,77.59,2024,65,Australia and Oceania
Poland,poland,79.15,82.74,75.53,2024,66,Europe
Croatia,croatia,79.09,82.09,76.01,2024,67,Europe
Wallis and Futuna,wallis-and-futuna,79.03,80,78.05,2024,68,Australia and Oceania
China,china,79.02,81.78,76.38,2024,69,East and Southeast Asia
Slovakia,slovakia,78.81,81.98,75.6,2024,70,Europe
Cuba,cuba,78.62,81,76.25,2024,71,Central America and the Caribbean
Uruguay,uruguay,78.62,82.29,74.78,2024,72,South America
Turks and Caicos,turks-and-caicos-islands,78.5,80.72,76.35,2024,73,
Bosnia and Herzegovina,bosnia-and-herzegovina,78.42,81.38,75.09,2024,74,Europe
Turkey (Turkiye),turkey-turkiye,78.38,81.33,75.5,2024,75,Middle East
Jordan,jordan,78.3,80.6,76.24,2024,76,Middle East
Peru,peru,78.3,80.61,76.02,2024,77,South America
Colombia,colombia,78.27,80.92,75.57,2024,78,South America
Iran,iran,78.25,80.17,76.43,2024,79,Middle East
Lebanon,lebanon,78.22,80.11,76.17,2024,80,Middle East
Antigua and Barbuda,antigua-and-barbuda,78.11,80.75,75.12,2024,81,Central America and the Caribbean
Sri Lanka,sri-lanka,78.03,81.04,74.85,2024,82,South Asia
Caribbean Netherlands,caribbean-netherlands,77.95,80.6,75.75,2024,83,
Ecuador,ecuador,77.94,80.62,75.28,2024,84,South America
Argentina,argentina,77.83,80.28,75.3,2024,85,South America
North Macedonia,north-macedonia,77.81,79.96,75.56,2024,86,Europe
Guam,guam,77.81,81.88,74.11,2024,87,Australia and Oceania
British Virgin Islands,british-virgin-islands,77.76,80.46,75.05,2024,88,Central America and the Caribbean
Montenegro,montenegro,77.6,80.74,74.31,2024,89,Europe
French Guiana,french-guiana,77.54,80.44,74.71,2024,90,
Hungary,hungary,77.5,80.61,74.26,2024,91,Europe
State of Palestine,state-of-palestine,77.42,79.75,74.96,2024,92,
Tokelau,tokelau,77.42,79.28,75.33,2024,93,
Curacao,curacao,77.34,81.22,73.06,2024,94,Central America and the Caribbean
Serbia,serbia,77.33,80.5,74.09,2024,95,Europe
Saint Helena,saint-helena-ascension-and-tristan-da-cunha,77.3,80.97,74.35,2024,96,
Saint Pierre and Miquelon,saint-pierre-and-miquelon,77.28,81.87,73.34,2024,97,North America
Malaysia,malaysia,77.16,79.82,74.81,2024,98,East and Southeast Asia
Tunisia,tunisia,77.1,79.68,74.55,2024,99,Africa
Thailand,thailand,77.06,81.36,72.92,2024,100,East and Southeast Asia
Algeria,algeria,76.89,78.34,75.5,2024,101,Africa
Sint Maarten,sint-maarten,76.86,79.92,74.17,2024,102,Central America and the Caribbean
Aruba,aruba,76.78,79.19,74.14,2024,103,Central America and the Caribbean
Montserrat,montserrat,76.66,79.23,74.58,2024,104,Central America and the Caribbean
Barbados,barbados,76.64,79.05,74.09,2024,105,Central America and the Caribbean
Latvia,latvia,76.63,80.85,72.13,2024,106,Europe
Mayotte,mayotte,76.61,78.85,74.63,2024,107,
Cabo Verde,cabo-verde,76.56,79.68,73.44,2024,108,Africa
Lithuania,lithuania,76.48,81.05,71.81,2024,109,Europe
Romania,romania,76.4,79.95,72.91,2024,110,Europe
Brazil,brazil,76.37,79.46,73.33,2024,111,South America
Armenia,armenia,76.18,79.87,71.95,2024,112,Central Asia
US Virgin Islands,virgin-islands,76.15,81.73,71.17,2024,113,
Bulgaria,bulgaria,76.13,79.66,72.7,2024,114,Europe
Morocco,morocco,75.86,78.13,73.71,2024,115,Africa
Cook Islands,cook-islands,75.85,79.48,72.44,2024,116,Australia and Oceania
