name,slug,%,date_of_information,ranking,region
"Niger","niger","34.6","2022",1,"Africa"
"Sudan","sudan","33","2014",2,"Africa"
"Timor-Leste","timor-leste","31.9","2020",3,"East and Southeast Asia"
"India","india","31.5","2019/21",4,"South Asia"
"Burundi","burundi","27.6","2022",5,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","23.1","2017/18",6,"Africa"
"Pakistan","pakistan","23.1","2018",7,"South Asia"
"Madagascar","madagascar","22.6","2021",8,"Africa"
"Bangladesh","bangladesh","22.6","2019",9,"South Asia"
"Mauritania","mauritania","22.4","2022",10,"Africa"
"Ethiopia","ethiopia","21.2","2019",11,"Africa"
"Laos","laos","21.1","2017",12,"East and Southeast Asia"
"Central African Republic","central-african-republic","20.5","2019",13,"Africa"
"Sri Lanka","sri-lanka","20.5","2016",14,"South Asia"
"Philippines","philippines","19.1","2015",15,"East and Southeast Asia"
"Burma","burma","19.1","2018",16,"East and Southeast Asia"
"Afghanistan","afghanistan","19.1","2018",17,"South Asia"
"Angola","angola","19","2015/16",18,"Africa"
"Chad","chad","18.9","2022",19,"Africa"
"Guinea-Bissau","guinea-bissau","18.8","2019",20,"Africa"
"Nepal","nepal","18.7","2022",21,"South Asia"
"Mali","mali","18.5","2022",22,"Africa"
"Nigeria","nigeria","18.4","2019/20",23,"Africa"
"Indonesia","indonesia","17.7","2018",24,"East and Southeast Asia"
"Burkina Faso","burkina-faso","17.5","2021",25,"Africa"
"Benin","benin","16.8","2017/18",26,"Africa"
"Cambodia","cambodia","16.3","2022",27,"East and Southeast Asia"
"Guinea","guinea","16.3","2018",28,"Africa"
"Djibouti","djibouti","16.2","2019",29,"Africa"
"Solomon Islands","solomon-islands","16.2","2015",30,"Australia and Oceania"
"Togo","togo","15.2","2017",31,"Africa"
"Maldives","maldives","14.8","2016/17",32,"South Asia"
"Mozambique","mozambique","14.8","2019/20",33,"Africa"
"Guatemala","guatemala","14.4","2021/22",34,"Central America and the Caribbean"
"Senegal","senegal","14.4","2019",35,"Africa"
"Malaysia","malaysia","14.1","2019",36,"East and Southeast Asia"
"Cote d'Ivoire","cote-divoire","14","2021",37,"Africa"
"Ghana","ghana","12.6","2017/18",38,"Africa"
"Tanzania","tanzania","12.1","2022",39,"Africa"
"Sierra Leone","sierra-leone","12","2021",40,"Africa"
"Marshall Islands","marshall-islands","11.9","2017",41,"Australia and Oceania"
