name,slug,%,date_of_information,ranking,region
"Djibouti","djibouti","76.3","2024",1,"Africa"
"South Africa","south-africa","60.9","2024",2,"Africa"
"Eswatini","eswatini","58.2","2024",3,"Africa"
"Libya","libya","49.5","2024",4,"Africa"
"Botswana","botswana","43.9","2024",5,"Africa"
"Jordan","jordan","41.7","2024",6,"Middle East"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","41.4","2024",7,"Central America and the Caribbean"
"Tunisia","tunisia","40.1","2024",8,"Africa"
"Congo, Republic of the","congo-republic-of-the","40","2024",9,"Africa"
"Haiti","haiti","37.5","2024",10,"Central America and the Caribbean"
"Namibia","namibia","37.3","2024",11,"Africa"
"French Polynesia","french-polynesia","36.9","2024",12,"Australia and Oceania"
"West Bank","west-bank","36.1","2022",13,"Middle East"
"Gaza Strip","gaza-strip","36.1","2022",14,"Middle East"
"Gabon","gabon","36","2024",15,"Africa"
"Somalia","somalia","33.9","2024",16,"Africa"
"New Caledonia","new-caledonia","32.7","2024",17,"Australia and Oceania"
"Yemen","yemen","32.4","2024",18,"Middle East"
"Iraq","iraq","32.1","2024",19,"Middle East"
"Syria","syria","31.5","2024",20,"Middle East"
"North Macedonia","north-macedonia","30.3","2024",21,"Europe"
"Georgia","georgia","29.9","2024",22,"Central Asia"
"Algeria","algeria","29.8","2024",23,"Africa"
"Saint Lucia","saint-lucia","29","2024",24,"Central America and the Caribbean"
"Cabo Verde","cabo-verde","28.2","2024",25,"Africa"
"Angola","angola","27.9","2024",26,"Africa"
"Bosnia and Herzegovina","bosnia-and-herzegovina","27.3","2024",27,"Europe"
"Tajikistan","tajikistan","27.1","2024",28,"Central Asia"
"Spain","spain","27","2024",29,"Europe"
"Uruguay","uruguay","26.4","2024",30,"South America"
"Armenia","armenia","26.2","2024",31,"Central Asia"
"Montenegro","montenegro","25.9","2024",32,"Europe"
"Virgin Islands","virgin-islands","25.3","2024",33,"Central America and the Caribbean"
"Albania","albania","25.1","2024",34,"Europe"
"Greece","greece","24.7","2024",35,"Europe"
"Suriname","suriname","24.2","2024",36,"South America"
"Lesotho","lesotho","24.2","2024",37,"Africa"
"Sweden","sweden","23.8","2024",38,"Europe"
"Barbados","barbados","23.7","2024",39,"Central America and the Caribbean"
"Lebanon","lebanon","23.6","2023",40,"Middle East"
"Mauritania","mauritania","23.2","2024",41,"Africa"
"Costa Rica","costa-rica","23","2024",42,"Central America and the Caribbean"
"Iran","iran","22.8","2024",43,"Middle East"
"Serbia","serbia","22.7","2024",44,"Europe"
"Sri Lanka","sri-lanka","22.3","2024",45,"South Asia"
"Guyana","guyana","22.3","2024",46,"South America"
"Chile","chile","22.3","2024",47,"South America"
"Morocco","morocco","22.1","2024",48,"Africa"
"Italy","italy","21.8","2024",49,"Europe"
"Romania","romania","21.3","2024",50,"Europe"
"Portugal","portugal","21.2","2024",51,"Europe"
"Argentina","argentina","21.2","2024",52,"South America"
"Estonia","estonia","20.9","2024",53,"Europe"
"Nepal","nepal","20.8","2024",54,"South Asia"
"Luxembourg","luxembourg","20.2","2024",55,"Europe"
"Colombia","colombia","19.8","2024",56,"South America"
"Finland","finland","19.2","2024",57,"Europe"
"Ukraine","ukraine","19.1","2021",58,"Europe"
"Egypt","egypt","18.7","2024",59,"Africa"
"South Sudan","south-sudan","18.5","2023",60,"Africa"
"Brunei","brunei","18.5","2024",61,"East and Southeast Asia"
"Slovakia","slovakia","18.2","2024",62,"Europe"
"Brazil","brazil","18","2024",63,"South America"
"Bahamas, The","bahamas-the","17.8","2024",64,"Central America and the Caribbean"
"Rwanda","rwanda","17.5","2024",65,"Africa"
"Panama","panama","16.8","2024",66,"Central America and the Caribbean"
"Belgium","belgium","16.8","2024",67,"Europe"
"Afghanistan","afghanistan","16.7","2024",68,"South Asia"
"France","france","16.6","2024",69,"Europe"
"Croatia","croatia","16.6","2024",70,"Europe"
"Mauritius","mauritius","16.6","2024",71,"Africa"
"Belize","belize","16.3","2024",72,"Central America and the Caribbean"
"Maldives","maldives","16.1","2024",73,"South Asia"
"India","india","16","2024",74,"South Asia"
"Turkey (Turkiye)","turkey-turkiye","15.6","2024",75,"Middle East"
"Cyprus","cyprus","15.6","2024",76,"Europe"
"Fiji","fiji","15.5","2024",77,"Australia and Oceania"
"Kuwait","kuwait","15.4","2024",78,"Middle East"
"China","china","15.2","2024",79,"East and Southeast Asia"
"Equatorial Guinea","equatorial-guinea","14.7","2024",80,"Africa"
"Jamaica","jamaica","14.5","2024",81,"Central America and the Caribbean"
"New Zealand","new-zealand","14.3","2024",82,"Australia and Oceania"
"Jersey","jersey","14.1","2024",83,"Europe"
"Paraguay","paraguay","14.1","2024",84,"South America"
"Lithuania","lithuania","14.1","2024",85,"Europe"
"Hungary","hungary","14.1","2024",86,"Europe"
"Guernsey","guernsey","14.1","2024",87,"Europe"
"Zimbabwe","zimbabwe","14","2024",88,"Africa"
"Oman","oman","13.9","2024",89,"Middle East"
"Bhutan","bhutan","13.8","2024",90,"South Asia"
"Saudi Arabia","saudi-arabia","13.8","2024",91,"Middle East"
"Mongolia","mongolia","13.8","2024",92,"East and Southeast Asia"
"Guam","guam","13.7","2024",93,"Australia and Oceania"
